selfEmployed,employerTech,healthCoverage,mentalHealthCoverage,formal,age,gender,country
0,1,No,Yes,No,27,Female,United Kingdom
0,1,Yes,Yes,No,31,male,United Kingdom
0,1,I don't know,No,I don't know,36,male,United States of America
0,1,Yes,Yes,I don't know,22,Male,United States of America
1,,,,,52,female,United States of America
0,1,Yes,No,No,30,male,United States of America
0,1,Yes,Yes,No,36,F,United States of America
0,1,Yes,No,No,38,Female,United States of America
0,0,I don't know,No,No,35,Male,Switzerland
1,,,,,36,male,India
0,0,Yes,Yes,No,40,M,United States of America
0,1,I don't know,No,No,35,Male,United States of America
0,1,No,No,No,23,Male,Russia
0,1,I don't know,No,No,22,Female,United States of America
0,1,I don't know,N/A,I don't know,34,female,United States of America
0,0,Yes,No,No,28,Male,United States of America
0,0,No,No,No,38,male,Bangladesh
1,,,,,53,Male,United States of America
0,1,I don't know,No,No,21,Male,Germany
0,0,I don't know,No,No,35,F,United Kingdom
0,1,No,No,No,22,Male,United Kingdom
0,0,Not eligible for coverage / NA,N/A,Yes,18,Male,United Kingdom
0,0,I don't know,No,No,37,female,United States of America
0,1,No,N/A,No,25,Male,United Kingdom
0,1,No,No,Yes,40,male,Canada
0,1,No,No,No,33,Male,Israel
0,0,Yes,No,No,66,F,United States of America
0,0,Yes,Yes,No,31,female,United States of America
0,0,Yes,Yes,Yes,32,Male,Canada
1,,,,,46,M,United States of America
0,1,Yes,Yes,I don't know,30,female,United States of America
0,1,Yes,Yes,No,31,Man,United States of America
0,1,Not eligible for coverage / NA,N/A,No,46,Male,Iceland
1,,,,,29,,Canada
0,0,Not eligible for coverage / NA,No,No,28,f,United States of America
0,0,No,No,No,34,Female,Japan
0,1,Yes,Yes,No,25,Male,United States of America
0,0,Yes,Yes,Yes,35,Male,United States of America
1,,,,,25,,Indonesia
0,1,Yes,Yes,No,40,male,United States of America
0,0,I don't know,No,No,32,M,United States of America
0,0,I don't know,No,No,39,Male,United States of America
0,1,Yes,Yes,I don't know,33,male,United States of America
0,1,Yes,Yes,Yes,40,Male,United States of America
0,1,Yes,No,No,42,male,United States of America
0,0,I don't know,No,I don't know,32,Male,United States of America
0,0,Yes,Yes,No,27,Female,United States of America
1,,,,,43,Female,United Kingdom
0,0,No,N/A,No,30,female,Indonesia
0,0,I don't know,No,No,39,male,United States of America
0,1,Yes,No,No,42,Female,United States of America
0,1,Yes,Yes,Yes,37,Genderfluid,Canada
0,0,I don't know,Yes,No,38,Female,United States of America
0,1,I don't know,No,I don't know,47,Male,United Kingdom
0,1,I don't know,No,Yes,64,male,United Kingdom
0,0,No,Yes,No,28,Male,Canada
1,,,,,45,Male,United States of America
0,1,Yes,Yes,Yes,37,M,United Kingdom
0,1,Yes,Yes,Yes,30,Female,United Kingdom
0,0,I don't know,No,No,25,Male,United Kingdom
0,1,No,N/A,No,25,Female,United Kingdom
1,,,,,54,Female,United States of America
0,1,Yes,Yes,Yes,61,Male,United Kingdom
0,1,No,No,No,26,male,India
0,0,Yes,Yes,Yes,44,Female,United States of America
0,1,No,No,No,26,male,Portugal
0,1,Yes,No,No,26,Female,Portugal
0,1,I don't know,No,No,35,female,United States of America
0,1,Yes,Yes,No,45,Male,United States of America
0,1,I don't know,No,No,23,Male,United States of America
0,0,Yes,Yes,I don't know,44,Male,United States of America
0,0,Yes,No,Yes,38,male,United States of America
0,0,Yes,Yes,Yes,46,Male,United States of America
0,0,Yes,No,Yes,27,Nonbinary,United States of America
0,0,Yes,Yes,I don't know,39,female,United States of America
0,1,I don't know,No,No,33,Female ,United States of America
1,,,,,38,female,United States of America
0,0,Not eligible for coverage / NA,N/A,No,35,Male,United Kingdom
0,1,No,No,No,32,male,Germany
0,1,Yes,Yes,I don't know,26,Female,United States of America
0,1,Yes,Yes,No,50,cis-male,United States of America
0,1,I don't know,Yes,I don't know,31,Male,United States of America
0,1,I don't know,No,Yes,46,Male,Romania
0,1,Yes,No,No,30,Male,United States of America
0,1,Yes,No,No,30,Mail,United States of America
0,1,No,No,No,34,male,Germany
0,0,Yes,Yes,Yes,42,Male,United Kingdom
0,1,Yes,Yes,Yes,24,Female,United States of America
1,,,,,30,Male,United States of America
0,1,Yes,Yes,Yes,23,Male,Canada
0,1,Yes,Yes,No,31,female,United States of America
0,1,No,No,No,31,male,Finland
0,1,Yes,Yes,No,27,Woman,United States of America
1,,,,,26,Male,Pakistan
0,0,Yes,Yes,No,52,Female,United States of America
1,,,,,28,Male,Portugal
0,1,No,No,No,37,male,United States of America
0,0,No,N/A,Yes,37,male,Canada
0,0,Yes,Yes,No,38,Male,United States of America
1,,,,,57,Female,United States of America
0,1,Yes,Yes,I don't know,34,Male,United States of America
0,1,Yes,Yes,No,38,female,Germany
0,1,I don't know,No,No,30,Male,United States of America
0,0,Yes,Yes,Yes,52,Male,United States of America
1,,,,,31,Female,United States of America
1,,,,,29,Male,Germany
0,1,I don't know,No,No,26,Female,United Kingdom
0,0,Yes,No,No,29,female,United States of America
0,1,Yes,Yes,No,44,Male,United States of America
1,,,,,18,male/androgynous ,Canada
0,1,Not eligible for coverage / NA,N/A,Yes,42,Male,Australia
0,0,Yes,Yes,No,30,Male,United States of America
0,1,Yes,No,Yes,29,M,United States of America
0,1,Yes,Yes,Yes,27,Female,United States of America
0,1,Yes,Yes,Yes,39,Male,United States of America
0,1,Yes,Yes,Yes,40,female,United States of America
0,1,Yes,Yes,Yes,36,female,United States of America
1,,,,,48,female,United States of America
0,1,Yes,Yes,Yes,43,male,United States of America
0,1,Yes,Yes,I don't know,38,Man,United States of America
0,1,I don't know,No,No,42,Male,United States of America
0,1,No,N/A,Yes,46,Male,United Kingdom
0,0,Yes,Yes,No,30,male,United States of America
0,0,No,Yes,No,25,Male,United Kingdom
0,1,Yes,Yes,Yes,28,,Canada
0,1,Yes,Yes,No,24,Female,Germany
0,1,I don't know,No,No,26,male,United Kingdom
0,1,Yes,Yes,No,43,cis hetero male,United States of America
0,0,Yes,Yes,No,25,Female,United States of America
0,0,Yes,No,Yes,34,male,United States of America
0,1,Yes,Yes,Yes,28,female,United States of America
0,1,No,N/A,No,27,Male,South Africa
0,1,No,No,Yes,22,Male,India
0,1,I don't know,No,No,24,female,Romania
1,,,,,33,female,Pakistan
1,,,,,41,m,Germany
0,1,No,N/A,No,26,Female,United Kingdom
1,,,,,39,Male,United States of America
0,1,I don't know,No,No,24,male,United States of America
0,1,I don't know,No,No,54,Male,United States of America
0,0,Yes,Yes,Yes,47,m,United States of America
0,1,No,N/A,No,33,Male,Sweden
0,1,Yes,Yes,No,30,,United States of America
0,0,Yes,Yes,No,48,Male,United States of America
0,1,I don't know,No,I don't know,35,male,United States of America
0,0,I don't know,No,No,34,Male,United States of America
1,,,,,31,Male,Serbia
0,1,Yes,Yes,No,25,male,United States of America
0,1,No,No,No,48,male,Spain
0,0,Yes,No,Yes,34,Male,United States of America
0,1,Yes,Yes,No,42,M,United States of America
0,1,I don't know,No,No,27,Male,United States of America
0,1,Yes,Yes,No,33,Female,United States of America
0,1,Yes,Yes,No,27,Female,United States of America
0,1,Yes,No,No,48,m,United States of America
0,1,Yes,Yes,No,32,f,United States of America
0,1,Yes,No,Yes,29,Male,United States of America
1,,,,,36,Female,United States of America
1,,,,,29,Female,United Kingdom
0,1,I don't know,No,No,23,female,Canada
0,0,Yes,No,I don't know,50,Female,United States of America
1,,,,,24,female,Jordan
0,1,No,No,No,29,Female,Hungary
0,0,Yes,No,I don't know,42,female,United States of America
1,,,,,35,Male,Australia
0,1,I don't know,No,No,22,Male,United States of America
0,1,Yes,Yes,Yes,39,Female,United States of America
0,1,Yes,No,No,29,femalw,Canada
1,,,,,20,Male,India
0,0,Not eligible for coverage / NA,N/A,Yes,36,female,United Kingdom
0,1,I don't know,No,No,30,femail,Croatia
1,,,,,36,male,United States of America
0,1,No,N/A,No,31,Male,South Africa
0,1,Yes,Yes,No,28,male,United States of America
0,0,Yes,Yes,No,28,Male (cis),United States of America
0,0,I don't know,Yes,No,25,Female,United States of America
0,1,I don't know,No,No,30,male,Bulgaria
1,,,,,45,m,New Zealand
0,1,I don't know,No,No,31,Male,Italy
0,1,No,No,No,36,Male,Romania
0,1,I don't know,No,No,37,male,Argentina
0,1,Yes,Yes,No,37,Male,United States of America
1,,,,,28,male,Russia
0,1,Not eligible for coverage / NA,Yes,No,37,male,Spain
0,1,No,N/A,No,37,male,Bulgaria
1,,,,,64,m,Australia
1,,,,,34,female,Eritrea
1,,,,,34,Male,Greece
1,,,,,36,Male,Spain
1,,,,,26,m,United States of America
0,1,I don't know,No,No,33,male,Austria
0,1,Yes,No,No,47,f,United States of America
0,1,I don't know,No,Yes,24,Female,United States of America
0,1,Yes,Yes,No,26,Male,United States of America
0,1,Yes,Yes,Yes,37,Male,Australia
0,1,Yes,Yes,Yes,29,Male,United States of America
0,1,I don't know,No,No,33,Female,United States of America
0,1,Yes,No,Yes,44,male,United States of America
0,1,Yes,Yes,Yes,34,Female,United States of America
0,1,Yes,No,Yes,35,Male,United States of America
0,1,Yes,Yes,No,32,uhhhhhhhhh fem genderqueer?,United States of America
1,,,,,23,,Canada
0,1,Yes,No,No,31,Male,United States of America
0,1,Yes,Yes,No,30,M,United States of America
1,,,,,42,male (hey this is the tech industry you're talking about),United Kingdom
0,1,I don't know,No,No,26,female (cis),United States of America
0,0,Yes,Yes,No,29,Female,Germany
0,0,Yes,Yes,No,35,Male,United States of America
1,,,,,31,Male,Spain
0,1,I don't know,No,I don't know,26,God King of the Valajar,United States of America
0,1,I don't know,No,No,30,Male,United States of America
0,0,Yes,Yes,No,39,M,United States of America
0,1,No,N/A,No,29,Male,Spain
0,1,No,N/A,No,27,Male,Spain
0,1,No,N/A,No,29,Male,Spain
0,1,No,N/A,No,43,Male,Spain
0,1,No,No,No,31,Male,Spain
0,1,No,No,No,27,Female,Spain
0,1,Yes,No,No,36,Male,Netherlands
0,1,Yes,Yes,Yes,44,Female ,United States of America
0,1,Yes,Yes,Yes,44,Cis male,United States of America
0,1,Yes,Yes,No,27,female,United States of America
0,1,Yes,Yes,Yes,42,Female,United States of America
0,1,Yes,Yes,Yes,28,male,United States of America
0,0,Yes,Yes,Yes,43,Male,United States of America
1,,,,,28,Female,Canada
0,1,Yes,Yes,Yes,49,Female,United States of America
0,1,I don't know,No,No,32,Male,France
0,1,I don't know,No,No,33,M,United States of America
0,1,No,Yes,No,45,Male,United States of America
0,1,I don't know,No,No,25,Female,United States of America
0,1,Yes,Yes,No,42,Male,United States of America
0,1,Yes,No,No,25,Male,United States of America
0,1,Yes,No,No,25,Female,United States of America
0,1,Yes,Yes,Yes,31,Female,United States of America
0,0,Yes,Yes,Yes,22,Female,United States of America
1,,,,,33,f,United States of America
0,1,No,No,No,40,Male,India
0,1,I don't know,No,No,28,Male,United States of America
0,1,I don't know,No,No,37,Male,United States of America
0,1,Yes,No,No,35,Male,Canada
1,,,,,47,Male,United States of America
0,1,I don't know,No,No,20,Male,United Kingdom
0,1,Yes,No,No,27,Female,Spain
0,0,Yes,Yes,Yes,62,Female,United States of America
1,,,,,42,male,United States of America
1,,,,,35,Male,United States of America
0,1,I don't know,No,No,29,Male,Germany
0,1,Yes,Yes,Yes,37,Male,United Kingdom
0,1,Yes,No,No,51,Male,United States of America
0,0,Yes,Yes,Yes,60,Male,United States of America
1,,,,,30,F,United States of America
0,1,Yes,No,No,36,f,United States of America
0,1,I don't know,No,I don't know,38,m,United States of America
0,1,I don't know,No,Yes,30,Woman,Mexico
0,1,I don't know,No,Yes,35,Male,United Kingdom
1,,,,,50,female,United Kingdom
0,1,Yes,Yes,Yes,41,Male,United Kingdom
1,,,,,58,female,United States of America
0,0,I don't know,No,No,27,Male,United States of America
0,0,No,No,No,53,man,Swaziland
0,0,Yes,No,No,42,Female,United States of America
0,0,No,Yes,No,33,male,Germany
0,1,Yes,Yes,No,25,Nonbinary,United States of America
0,1,I don't know,No,No,40,Male,United States of America
0,0,Yes,Yes,No,25,My sex is female.,United States of America
0,1,I don't know,No,No,49,female,United States of America
0,1,No,N/A,No,44,Female,United States of America
0,1,I don't know,No,No,30,Male,United States of America
0,1,Yes,No,I don't know,28,Male,United States of America
0,1,Yes,Yes,I don't know,26,M,United States of America
0,1,Yes,No,Yes,31,Male,United States of America
0,1,Yes,No,No,32,Male,United States of America
0,1,I don't know,No,I don't know,24,Male,United States of America
0,1,I don't know,No,No,34,male,United States of America
0,1,Yes,Yes,No,31,female,United States of America
0,1,Yes,Yes,Yes,47,Male,United States of America
0,1,Yes,No,No,59,male,United States of America
0,1,I don't know,No,I don't know,44,male,United States of America
0,1,No,No,No,26,Male,United States of America
1,,,,,43,Male,United States of America
1,,,,,39,Male,United Kingdom
0,1,I don't know,No,Yes,43,M,United States of America
1,,,,,40,Male,United Kingdom
0,1,I don't know,No,No,22,male,Germany
0,1,Not eligible for coverage / NA,N/A,No,24,m,Netherlands
